Username,Verified,Comment Text,Likes,Time,Replies,Translation,Offensive?
j4nvante,FALSE,I thought U guys are married 😭,15,4d,0,FALSE,FALSE
nugbydownbad,FALSE,Kiss already 😔😔😔💔💔💔🥀🥀🥀,1,4d,0,FALSE,FALSE
iam__nab106,FALSE,WEDDING post comming soon😗🤯,1,4d,0,FALSE,FALSE
_zuham,FALSE,BHAIYA BHABIIIIIIIII,8,4d,0,FALSE,FALSE
ariyan_ahmed_rubel_1,FALSE,Wow ❤️❤️❤️,5,4d,0,FALSE,FALSE
nafi.ash,FALSE,Chobi dekhey monekorlam biye ta hoyei gelo,1,4d,0,TRUE,FALSE
ja_fahim_10,TRUE,"Verified  কংগ্রাচুলেশনস জানানো লাগবেনা রাফসান ভাই, আমরা জানি এটা আমাদের ভাবি🤭😚",7,4d,0,TRUE,FALSE
zubayerislost,FALSE,Vai dawat pailam naaa,2,4d,0,TRUE,FALSE
_mxgh4_,FALSE,Wtf is running in comment section guys?? Thousand people posted and still posting about her! Aboute her 1m in facebook !...  more,1,4d,0,FALSE,FALSE
rubaiyaoafy67_78,FALSE,❤️,1,2d,0,FALSE,FALSE
maladaptive.__.daydreamer,FALSE,"bro stop playing around, just propose her already",4,4d,0,FALSE,FALSE
_tashfiq_ahnaf_,FALSE,Bro I thought you got married.... disappointing man💔,1,4d,0,FALSE,FALSE
00pium_farti,FALSE,The feeling when you find out they aren't married yet💔💔💔💔,7,4d,0,FALSE,FALSE
____imam33hossain_,FALSE,🙆‍♂️😒,2,4d,0,FALSE,FALSE
_relax__89,FALSE,Sonn biye dekte jacci...,3,4d,0,TRUE,FALSE
schonoop_srabo,FALSE,"Mash Allah, bro!...  more",2,4d,0,TRUE,FALSE
_zuham,FALSE,JUST GER MARRIED ALREADY PLEASE,4,4d,0,FALSE,FALSE
cattome666,FALSE,"You guys are soulmates both of you are white, funny, cute personality 2jon ee compliments nite paro na😂🖤",2,4d,0,FALSE,FALSE
sohaalahmmad,FALSE,Rafsan's wife,2,4d,0,FALSE,FALSE
s_h_i_h_a_b___590,FALSE,Vai biye kobe kortecen 😍,1,4d,0,TRUE,FALSE
sulfer_nitride,FALSE,On of the best couple 🫶🏻,1,4d,0,FALSE,FALSE
iinstauser1.0,FALSE,Amr frnd er shate pic tular echa emne 🙃🙃,1,2d,0,TRUE,FALSE
aminul_sourov,FALSE,Cute couples 💖,2,4d,0,FALSE,FALSE
j0j0himel,FALSE,お似合いのカップル ...  more,1,4d,0,TRUE,FALSE
__sa_dhrubo__,FALSE,Having someone like sunehra is truly blessing❤️,2,4d,0,FALSE,FALSE
anjuman__alifa3,FALSE,Ami vabsilam biye Hoye gese👀,2,2d,0,TRUE,FALSE
montyashrafali,FALSE,Ma sha Allah ❤️😍❤️,1,4d,0,FALSE,FALSE
__jukishhhhhh__,FALSE,Tomra biye kobe korba?,1,4d,0,TRUE,FALSE
ia_sami_21,FALSE,Biye When?,1,4d,0,FALSE,FALSE
_kazi_saimun_7,FALSE,Chotobhai get married soon...🫣,1,4d,0,FALSE,FALSE
iamjoy851,FALSE,"You better to be friend of her,Don't cross your limit. @t.sunehra is mine🥲🥲",1,4d,0,FALSE,FALSE
jannatul_ferdous_juena,FALSE,Congratulations 🎉❤️,1,4d,0,FALSE,FALSE
__sahababu,FALSE,"Please @t.sunehra ,,, be our CHOTOBHABI 😌😌",1,4d,0,FALSE,FALSE
heey_alvee,FALSE,Vaiya apu k vabi hisebe dekhte chai..🙌,1,4d,0,TRUE,FALSE
movie_time560,FALSE,https://t.me/+4--zUdj-VchhMmNl,1,4d,0,FALSE,FALSE
redwan3436,FALSE,Masha allah ❤️🥀,1,4d,0,FALSE,FALSE
mirsabhasan,FALSE,Just get married at this point,86,4d,0,FALSE,FALSE
hope.less.113,FALSE,bhaia biye kore phalen ak sathe congratulation bolbo,4,4d,0,TRUE,FALSE
nadimnishanto,FALSE,🙂,1,4d,0,FALSE,FALSE
gazinafisahmed,FALSE,Rafsan.... Looking good together!,1,4d,0,FALSE,FALSE
90s_fari,FALSE,"I thought y'all were getting married, I was so excited😭",70,4d,0,FALSE,FALSE
montyashrafali,FALSE,❤️😍❤️,1,4d,0,FALSE,FALSE
rvai20370,FALSE,❤️,1,4d,0,FALSE,FALSE
nazmul_raaj,FALSE,নাটক কম মারাও এবার হাতে আংটি পরাও 🙂,3,4d,0,TRUE,FALSE
ra_bbi_10,FALSE,🔥🔥🔥,1,4d,0,FALSE,FALSE
j_a_e__d,FALSE,Sniper sniper - wify wify 👏,1,4d,0,FALSE,FALSE
mohammad_.saidul,FALSE,congress ❤️,1,4d,0,FALSE,FALSE
rubaiya_rithila,FALSE,❤️,1,4d,0,FALSE,FALSE
shahariya_koushik,FALSE,Bhai biye korben kobe,1,4d,0,TRUE,FALSE
_sa__jim_,FALSE,Damn!...  more,1,4d,0,FALSE,TRUE
_emuuuux_,FALSE,wannaaaaaa see you two together foreverrrrrr😭🙏🏻,1,4d,0,FALSE,FALSE
jonaid757,FALSE,❤️❤️❤️,1,4d,0,FALSE,FALSE
shimul_mahadee____,FALSE,Biye kobe?,0,4d,0,FALSE,FALSE
a_fifa_core,FALSE,Ake to matching matching porse 😍,1,4d,0,FALSE,FALSE
high_flyeer420,FALSE,tomra ekhono biye korteso na kn?!,2,4d,0,TRUE,FALSE
cheryzeeee,FALSE,Bro am I the only one who thought they got engaged?😭,1,4d,0,FALSE,FALSE
tahnia_sultana_,FALSE,❤️❤️,1,4d,0,FALSE,FALSE
_ayan__ahmed__,FALSE,Mashallah ❤️,1,4d,0,FALSE,FALSE
jannatasha2799,FALSE,❤️‍🩹🫶,1,4d,0,FALSE,FALSE
exotic_ode,FALSE,Precious ❤️,1,4d,0,FALSE,FALSE
af.pai,FALSE,Lgtasay biye kore felcho 😂😂😂,1,4d,0,FALSE,FALSE
ft.zawad,FALSE,What a misleading post 😂 thought something else,5,4d,0,FALSE,FALSE
ra_bbi_10,FALSE,Couple 😭,1,4d,0,FALSE,FALSE
jameshilton1114,FALSE,Just say ‘Kobul‘,0,4d,0,FALSE,FALSE
dhurbhallagenah,FALSE,@sfpriv13,1,4d,0,FALSE,FALSE
mysteriouslymaleficent,FALSE,Please get married to her fast fast .. cant wait,1,4d,0,FALSE,FALSE
an._.adi.19,FALSE,Brother we all know...,1,4d,0,FALSE,FALSE
iftikharfaysal,FALSE,Parle screenshot niye rakhen. @thechotobhai @t.sunehra kei biye korbe 👀,2,4d,0,TRUE,FALSE
rs.mishu88,FALSE,looking good 👍🏻👌🏻,1,4d,0,FALSE,FALSE
whotfis_nabil,FALSE,Ami to bhablam congratulations lekhe feli 😞,1,4d,0,FALSE,FALSE
yourbrothersohel_7,FALSE,Love birds🔥,1,4d,0,FALSE,FALSE
noushin.nabila.3,FALSE,🙌🏼,1,4d,0,FALSE,FALSE
sonetmuhammad,FALSE,❤️❤️❤️,1,4d,0,FALSE,FALSE
muntasir685,FALSE,Ami to vabchi biye hoye gese,1,4d,0,TRUE,FALSE
lifeinagoodhome_with_tanzila,FALSE,Congratulations @t.sunehra . You are a bravo girl ❤️🔥💕🌸,1,4d,0,FALSE,FALSE
uzzal_munsi,FALSE,Bro bit by bit revealing the truth,1,4d,0,FALSE,FALSE
akib707,FALSE,My bro just congratulated his bou. Chotobhai and chotobhabi.,1,4d,0,FALSE,FALSE
ynivi.7tv_36c55,FALSE,Shobar biye hoitese tmdr tai Baki ken mia ektu biyer vlogs dekhtam LoL 😆,0,4d,0,TRUE,FALSE
fm_tahsan_,FALSE,that's absolutely a BRIDE & GROOM look,1,4d,0,FALSE,FALSE
rifat_0897,FALSE,Biye kore felen jhamela shesh 💥😷,1,4d,0,TRUE,FALSE
yourgoddamnmom_,FALSE,"Girlfriend bolei toh post dise,nahole js story dito LMFAO",1,4d,0,TRUE,FALSE
_tazwar._tbh,FALSE,Ayhayyyy oder biyeeee 🔥🔥🔥🔥,1,4d,0,FALSE,FALSE
_ar_4f_,FALSE,Bro just get married,2,4d,0,FALSE,FALSE
tasmia_sadman,FALSE,Biye krooooo,1,4d,0,FALSE,FALSE
ja_fahim_10,TRUE,Verified  next couple,2,4d,0,FALSE,FALSE
tash._.shii,FALSE,Omg my Jaw dropped after seeing the photo and then I saw the caption😞,3,4d,0,FALSE,FALSE
__tawfiq__71709__,FALSE,ami bhabsilm wedding post,1,4d,0,FALSE,FALSE
ami_rul_._,FALSE,Get married guys,1,4d,0,FALSE,FALSE
_chicken.noodles.soup,FALSE,get married already👽,1,4d,0,FALSE,FALSE
sumiiro__,FALSE,Vabchilam biyer post,1,4d,0,TRUE,FALSE
abuhamimtajul,FALSE,Nice couple 😂,1,4d,0,FALSE,FALSE
eshan_efaj,FALSE,Deikhen tara ekjon arekjon re aj noyto kal biye krbei,1,4d,0,TRUE,FALSE
celestial_whoo,FALSE,Biyer post vebe excited hoye jawa ami🤌🙏,1,4d,0,TRUE,FALSE
_reborn_srs_,FALSE,dhur joldi biya kor,0,4d,0,TRUE,FALSE
the_gryfferin_7,FALSE,"Aww so sweet! Now, get married already you two!!🥲🤌",2,4d,0,FALSE,FALSE
tejaswichakma,FALSE,🧿🧿🧿,1,4d,0,FALSE,FALSE
_xabrarx_16,FALSE,Duru vai. Bhabsi biyer kore felso eitar post😢,2,4d,0,TRUE,FALSE
ifrat14,FALSE,oww now it conform hmm😂👏,1,4d,0,FALSE,FALSE
farhansamin0,FALSE,biye kobe bhaiya,1,4d,0,FALSE,FALSE
tauhidshamsuddin,FALSE,Oh my gaaawwdddddd😍😍,1,4d,0,FALSE,FALSE
yiboz.nxh_,FALSE,AMI VABHSI BIYE KORE FELSE!😭,1,4d,0,FALSE,FALSE
daisy_m_queen_22,FALSE,My favourite couple 🙂👍🏻,1,4d,0,FALSE,FALSE
j_i_m_001,FALSE,Umm matching 👀,1,4d,0,FALSE,FALSE
shuchona_30,FALSE,Emne dhoka deyar mane ki ami vabsi biye hoye gese 😭,1,4d,0,TRUE,FALSE
tasfiasanjida,FALSE,"Would love to see you both doing travel vlogs together, with a dash of style and food reviews 🔥🔥",1,4d,0,FALSE,FALSE
jamalmiah350,FALSE,Husband 💞 wife we know very well 👏,1,4d,0,FALSE,FALSE
___emonhere___,FALSE,I thought they got married or something,1,4d,0,FALSE,FALSE
naeem__is__here,FALSE,married post vabsilam shala dhur😢,1,4d,0,FALSE,FALSE
princerafi290,FALSE,Cute cupule,1,4d,0,FALSE,FALSE
btw__shadman,FALSE,Matching Matching Naki Vaya😭✨,1,4d,0,FALSE,FALSE
of_sho_ra,FALSE,😮😮😮😮😮😮 just looking like so beautiful 💖💖💖💘💘💘💕💕💕💞💞💞,1,4d,0,FALSE,FALSE
rafichy222,FALSE,Comment box e sby e oder biyer post mone korche😂,1,4d,0,TRUE,FALSE
hasan_bin_muhammad,FALSE,Just get married already,1,4d,0,FALSE,FALSE
su.rjo9899,FALSE,Oi mama ki re❤️🔥,1,4d,0,FALSE,FALSE
sabik_un_nahar,FALSE,cute,1,4d,0,FALSE,FALSE
sunshinesoma93,FALSE,😂😂😂,1,4d,0,FALSE,FALSE
miftahuljannat8663,FALSE,Manush biye sadi te emn photoshot kore maybe secretly they r married 😁..,1,4d,0,FALSE,FALSE
call_me.sultana,FALSE,The couple we need to protect.... 👀😚🌷,21,4d,0,FALSE,FALSE
__yatx__,FALSE,Biye korse vabsilam,1,4d,0,TRUE,FALSE
zabiraahmed004,FALSE,❤️❤️❤️❤️❤️,1,4d,0,FALSE,FALSE
zulkernain_tahseen,FALSE,Pre wedding shoot,4,4d,0,FALSE,FALSE
j_sj_rj_vj,FALSE,Masaallah❤️😫😭✨,1,4d,0,FALSE,FALSE
tazmeenrai,FALSE,What are we final boss level,3,4d,0,FALSE,FALSE
rafsantahmid0,FALSE,Vai wedding Blog chaiiiii cahieeeee....,0,4d,0,FALSE,FALSE
fyroozdanisha,FALSE,Awwwh congratulations he’s making it official 😍❤️,3,4d,0,FALSE,FALSE
siamvaiya999,FALSE,Happy married life rafsan 🤐🤍,0,4d,0,FALSE,FALSE
ayesha_tithi,FALSE,Mrs Rafsan the choto bhabi🫢,0,4d,0,FALSE,FALSE
_l_e_o_r_a_02,FALSE,Lovely couple🔥🔥,0,4d,0,FALSE,FALSE
nuclear_53acid,FALSE,Bhai tomra biye korteso kobe...? 👀,0,4d,0,TRUE,FALSE
_l_e_o_r_a_02,FALSE,Babsilam caption takbe finally married,0,4d,0,FALSE,FALSE
skarianjohan74367,FALSE,🤍🫰,0,4d,0,FALSE,FALSE
_saeim__1,FALSE,"Bro, tumra 2 jon biye na korle onk kosto pabo",4,4d,0,TRUE,FALSE
f4rasat,FALSE,Oh yeaaa biya bari cholche,0,4d,0,FALSE,FALSE
nazmus_shakib0,FALSE,@t.sunehra @thechotobhai bhaiya biye kobe korte sen ……?,0,4d,0,TRUE,FALSE
anika_tabassum57,FALSE,ওয়াও,0,4d,0,TRUE,FALSE
tahim_btw,FALSE,Friends- best friends- gf bf - married thats what i thaught,0,4d,0,FALSE,FALSE
mh._.inyourdreams,FALSE,Vai literally mone korsi hoye gese.,0,4d,0,TRUE,FALSE
nasheedolon_17,FALSE,একদিন এই পিক সত্যি হবে। lots of duah ❤️,0,4d,0,TRUE,FALSE
tuhinashfaq,FALSE,Gay,0,4d,0,FALSE,FALSE
rayhan_vibes,FALSE,Congratulations @t.sunehra.,0,4d,0,FALSE,FALSE
md_ismail320,FALSE,Tomra biye korte so kobe?,0,4d,0,TRUE,FALSE
md_ismail320,FALSE,Ans me please,1,4d,0,FALSE,FALSE
monirabcd477,FALSE,amazing ❤️❤️,0,4d,0,FALSE,FALSE
ahmedbinrahman123,FALSE,W8 and see 🔥,0,4d,0,FALSE,FALSE
sanim_62,FALSE,Couple matching dripppz,0,4d,0,FALSE,FALSE
ariy_an1599,FALSE,Biya biya vibes,0,4d,0,FALSE,FALSE
_tawhid_ur_rahmannn,FALSE,Us when,0,4d,0,FALSE,FALSE
sarkartipo,FALSE,❤️❤️❤️,0,4d,0,FALSE,FALSE
zxhan1,FALSE,Biye er dawat pabo na?,0,4d,0,TRUE,FALSE
rafa.eliza,FALSE,Just get married already 😩,0,4d,0,FALSE,FALSE
r.amiz_09,FALSE,@thechotobhai bro be honest you lowkey like her don’t you?😭,0,4d,0,FALSE,FALSE
goldfish_bozlo,FALSE,বিয়া করা যায় তো ব্রো🥺🥺 কি সুন্দর কিন্তু তুমি এতো লম্বা ক্যা🤧🤧,0,4d,0,TRUE,FALSE
_shaouwun_,FALSE,Biya ta kor bhai 🙏,0,4d,0,FALSE,FALSE
sujan_goooo,FALSE,Vaggish caption er moto ekta bebostha chilo noyto pura ekta generation Dhoka* kheye geto🙂👏,0,4d,0,TRUE,FALSE
sehraans_canadadays,FALSE,Congrats,0,4d,0,FALSE,FALSE
me_akik,FALSE,🔥🔥 Bro,0,4d,0,FALSE,FALSE
shameem_iiiiii,FALSE,Biyer post mona korsilam😢,0,4d,0,TRUE,FALSE
otoun_bhuiyan,FALSE,শুভ কাজ টা কি হয়ে গেলো তোমাদের,0,4d,0,TRUE,FALSE
otoun_bhuiyan,FALSE,❤️,0,4d,0,FALSE,FALSE
otoun_bhuiyan,FALSE,😍😍,0,4d,0,FALSE,FALSE
otoun_bhuiyan,FALSE,😮😮,0,4d,0,FALSE,FALSE
nayeemsharif143,FALSE,Please be together 🙌❤️,0,4d,0,FALSE,FALSE
___marinssta___,FALSE,Shobai wait kortese oder biyer jonno!😍,0,4d,0,TRUE,FALSE
ziaul_haque.rifat,FALSE,Congratulations bhabi 😴,0,4d,0,FALSE,FALSE
mdimtiaz4403,FALSE,Bhai Shadi Kab Karoge 😭😢😍,0,4d,0,TRUE,FALSE
m_htarek,FALSE,Khub shundor lagche 2 jonkey,0,4d,0,TRUE,FALSE
call_me_nafizzz,FALSE,When will you both getting married 😢,0,4d,0,FALSE,FALSE
shadiaruponty,FALSE,❤️❤️ congratulations,0,4d,0,FALSE,FALSE
mobarrt__ahasan_tajbe,FALSE,Vabi jitsen🔥❤️,0,4d,0,TRUE,FALSE
ishratinnsta143,FALSE,I thought u’r getting married 😒😭,0,4d,0,FALSE,FALSE
abdullahal5768,FALSE,Aww Bhai and bhabi,0,4d,0,FALSE,FALSE
marjan_chowdhury04,FALSE,প্রথমে ভাবছিলাম বিয়ের ফটো 😑😑,4,4d,0,TRUE,FALSE
usrattt,FALSE,look of lovee,0,4d,0,FALSE,FALSE
isratjahannadiya162,FALSE,Pinkkish ❤️❤️❤️ duo,0,4d,0,FALSE,FALSE
rit_full_guts_1111,FALSE,"Why u guys don't get married,we're waiting badly for heard the news..🥱",2,4d,0,FALSE,FALSE
rahima.__.tushi,FALSE,I was like...accha finally!! Oma erpor dekhi appreciation post😑,0,4d,0,FALSE,FALSE
grf008,FALSE,They gonna be a cool couple if they get married.,0,4d,0,FALSE,FALSE
mdnahid3836,FALSE,❤️❤️❤️,0,4d,0,FALSE,FALSE
selim_akhtar_121,FALSE,Bro bhabi tumar dike takai ase,0,4d,0,TRUE,FALSE
messynerd069,FALSE,Kire bhai tora hanga boch na key!!!😍,0,4d,0,FALSE,FALSE
soul_mate_786_,FALSE,Kuch tw Gadbad hain..😬,0,4d,0,TRUE,FALSE
__mahtab__796,FALSE,ami to vablam biya koira laichooooo 🥹🤦🏻‍♂️,0,4d,0,TRUE,FALSE
a.s.roddro,FALSE,@thechotobhai bro get married quickly 😻,0,4d,0,FALSE,FALSE
hello_rakib,FALSE,"Natok kom koro chotobhai, biye koro<3",0,4d,0,TRUE,FALSE
hamim_reverie,FALSE,"Jamai bou kivabe, eke opor er dike takiye ache 😢👏 how sweet",0,4d,0,TRUE,FALSE
mdyeasinaftab,FALSE,If the brother gets married then you will look up all the time☺️😄,0,4d,0,FALSE,FALSE
anisha._124,FALSE,,0,4d,0,FALSE,FALSE
mashfique_arique,FALSE,jemne congo likhso..bhabsilm shubho kaajta korei felso Rafsan bhai :(,0,4d,0,TRUE,FALSE
robiulislamofficial0,TRUE,Verified  Ami ekta kotha boli deikhen apnaderke manush premik bolte bolte apnara ekta shomoy mone korben nah biya korei feli 😁...  more,0,4d,0,TRUE,FALSE
kazisifat703,FALSE,-🤍🤍,0,4d,0,FALSE,FALSE
bayezid._.nur,FALSE,Cute couple <3,0,4d,0,FALSE,FALSE
emon_mahmud_2582,FALSE,❤️🔥,0,4d,0,FALSE,FALSE
fardinhussain_,FALSE,biyee date comming soon 🙌,2,4d,0,FALSE,FALSE
who_issamiullah,FALSE,,0,4d,0,FALSE,FALSE
monodip_karmokar,FALSE,,0,4d,0,FALSE,FALSE
kimtenyung00,FALSE,Best couple,0,4d,0,FALSE,FALSE
zoronoa_roro___,FALSE,Just marry her bro,0,4d,0,FALSE,FALSE
its_kawsher_,FALSE,❤️❤️,0,4d,0,FALSE,FALSE
g__hussain_7,FALSE,😍😍,0,4d,0,FALSE,FALSE
why_so_serious_brooo,FALSE,Me and Who😢,0,4d,0,FALSE,FALSE
dolphin.bangladesh.ltd,FALSE,🔥🔥,0,4d,0,FALSE,FALSE
sky.king420,FALSE,👀👀,0,4d,0,FALSE,FALSE
sky.king420,FALSE,Hay hay,0,4d,0,FALSE,FALSE
anu_insect_hashira,FALSE,Dui jon ei pink porse 💖 ki cute lagtase😭😭,0,4d,0,TRUE,FALSE
its_ur_boy_sharif_official,FALSE,Favrt couple 😍,0,4d,0,FALSE,FALSE
raf3f5,FALSE,Wait wait eita marriage post na?,0,4d,0,FALSE,FALSE
ahsan.hasi,FALSE,দরকার পড়লে লিখে রাখেন @t.sunehra কে বিয়ে করবেন।@thechotobhai 👀6/5/2025,0,4d,0,TRUE,FALSE
vib3swith_trk,FALSE,bhai apu k biya ta korei felo .kotodin r akshate onnoder biye khabe 👀,0,4d,0,TRUE,FALSE
_.alveeee_,FALSE,Hard🔥,0,4d,0,FALSE,FALSE
watashi_farhan_,FALSE,👀 mittha bole,0,4d,0,TRUE,FALSE
tcxffee,FALSE,@thechotobhai ki Bhai biya na kore tease koro! 😂,0,4d,0,TRUE,FALSE
sadiasinin,FALSE,ভাবী ভাইয়ার দিকে তাকাবে এটাই তো স্বাভাবিক 🙈,0,4d,0,TRUE,FALSE
_zubair__ahmed,FALSE,vhai apnara biye ta kobe korben?,0,4d,0,TRUE,FALSE
mdemone0188,FALSE,❤❤,3,4d,0,FALSE,FALSE
m.o.n.a.y.e.m,FALSE,Biye ta o kore felo..ahamori tmn akta kiso bolbo na,0,4d,0,TRUE,FALSE
adiba.mahbub,FALSE,M,0,4d,0,FALSE,FALSE
kan.onkk,FALSE,"হিংসা করে আপনি ও বড় হতে পারবেন না, আমিও বড় হতে পারবো না, তাই হিংসা না করে আসুন একে অপরকে ফলো করি । এবং দ্রুত ১ লাখ...  more",0,4d,0,TRUE,FALSE
md_sabbir1515,FALSE,💙,0,4d,0,FALSE,FALSE
nusratnasim.n,FALSE,I thought u both got engaged 🤣,0,4d,0,FALSE,FALSE
porag_727,FALSE,Perfect couple❤️❤️,0,4d,0,FALSE,FALSE
_abir_1100,FALSE,Ami vablam biye nia kono post hobe hoitoo 😭,0,4d,0,TRUE,FALSE
_suborna__mim_,FALSE,Congratulations 👏,0,4d,0,FALSE,FALSE
sheischoity,FALSE,Congratulations @t.sunehra... And you guys are look gorgeous together,0,4d,0,FALSE,FALSE
ishimulahmed,FALSE,মাশাআল্লাহ👀👀,0,4d,0,TRUE,FALSE
muhammad_muhidul_230,FALSE,vai + vhabi 👀👀,0,4d,0,FALSE,FALSE
afnan.26_,FALSE,I thought they got married,0,4d,0,FALSE,FALSE
bat_adnan,FALSE,Congrats❤️,0,4d,0,FALSE,FALSE
arhamhaqq,FALSE,Bhabsi biye kore felso 😭👀,3,4d,0,TRUE,FALSE
tahs.inbinhasan,FALSE,rafsan bhai tahola sobar bhabna sotti holo,0,4d,0,TRUE,FALSE
secretlifeof.ava7,FALSE,Literally biyer post vasilam😭lol😂,0,4d,0,FALSE,FALSE
hmmmmmm1801,FALSE,Amake biyer dauat dilen na kno 😭😭😭😭😭😭?,0,4d,0,TRUE,FALSE
mayshaislamrumi,FALSE,Bujhtesina ami tomra biye korteso na keno :))),0,4d,0,TRUE,FALSE
