,Comment Text,Likes,Replies,Translation,Offensive?
104,Sniper sniper - wify wify 👏,1,0,False,False
105,congress ❤️,1,0,False,False
106,❤️,1,0,False,False
107,Bhai biye korben kobe,1,0,True,False
108,Damn!...  more,1,0,False,True
109,wannaaaaaa see you two together foreverrrrrr😭🙏🏻,1,0,False,False
110,❤️❤️❤️,1,0,False,False
111,Biye kobe?,0,0,False,False
112,Ake to matching matching porse 😍,1,0,False,False
113,tomra ekhono biye korteso na kn?!,2,0,True,False
114,Bro am I the only one who thought they got engaged?😭,1,0,False,False
115,❤️❤️,1,0,False,False
116,Mashallah ❤️,1,0,False,False
117,❤️‍🩹🫶,1,0,False,False
118,Precious ❤️,1,0,False,False
119,Lgtasay biye kore felcho 😂😂😂,1,0,False,False
120,What a misleading post 😂 thought something else,5,0,False,False
121,Couple 😭,1,0,False,False
122,Just say ‘Kobul‘,0,0,False,False
123,@sfpriv13,1,0,False,False
124,Please get married to her fast fast .. cant wait,1,0,False,False
125,Brother we all know...,1,0,False,False
126,Parle screenshot niye rakhen. @thechotobhai @t.sunehra kei biye korbe 👀,2,0,True,False
127,looking good 👍🏻👌🏻,1,0,False,False
128,Ami to bhablam congratulations lekhe feli 😞,1,0,False,False
129,Love birds🔥,1,0,False,False
130,🙌🏼,1,0,False,False
131,❤️❤️❤️,1,0,False,False
132,Ami to vabchi biye hoye gese,1,0,True,False
133,Congratulations @t.sunehra . You are a bravo girl ❤️🔥💕🌸,1,0,False,False
134,Bro bit by bit revealing the truth,1,0,False,False
135,My bro just congratulated his bou. Chotobhai and chotobhabi.,1,0,False,False
136,Shobar biye hoitese tmdr tai Baki ken mia ektu biyer vlogs dekhtam LoL 😆,0,0,True,False
137,that's absolutely a BRIDE & GROOM look,1,0,False,False
138,Biye kore felen jhamela shesh 💥😷,1,0,True,False
139,"Girlfriend bolei toh post dise,nahole js story dito LMFAO",1,0,True,False
140,Ayhayyyy oder biyeeee 🔥🔥🔥🔥,1,0,False,False
141,Bro just get married,2,0,False,False
142,Biye krooooo,1,0,False,False
143,Verified  next couple,2,0,False,False
144,Omg my Jaw dropped after seeing the photo and then I saw the caption😞,3,0,False,False
145,ami bhabsilm wedding post,1,0,False,False
146,Get married guys,1,0,False,False
147,get married already👽,1,0,False,False
148,Vabchilam biyer post,1,0,True,False
149,Nice couple 😂,1,0,False,False
150,Deikhen tara ekjon arekjon re aj noyto kal biye krbei,1,0,True,False
151,Biyer post vebe excited hoye jawa ami🤌🙏,1,0,True,False
152,dhur joldi biya kor,0,0,True,False
153,"Aww so sweet! Now, get married already you two!!🥲🤌",2,0,False,False
154,🧿🧿🧿,1,0,False,False
155,Duru vai. Bhabsi biyer kore felso eitar post😢,2,0,True,False
156,oww now it conform hmm😂👏,1,0,False,False
157,biye kobe bhaiya,1,0,False,False
158,Oh my gaaawwdddddd😍😍,1,0,False,False
159,AMI VABHSI BIYE KORE FELSE!😭,1,0,False,False
160,My favourite couple 🙂👍🏻,1,0,False,False
161,Umm matching 👀,1,0,False,False
162,Emne dhoka deyar mane ki ami vabsi biye hoye gese 😭,1,0,True,False
163,"Would love to see you both doing travel vlogs together, with a dash of style and food reviews 🔥🔥",1,0,False,False
164,Husband 💞 wife we know very well 👏,1,0,False,False
165,I thought they got married or something,1,0,False,False
166,married post vabsilam shala dhur😢,1,0,False,False
167,Cute cupule,1,0,False,False
168,Matching Matching Naki Vaya😭✨,1,0,False,False
169,😮😮😮😮😮😮 just looking like so beautiful 💖💖💖💘💘💘💕💕💕💞💞💞,1,0,False,False
170,Comment box e sby e oder biyer post mone korche😂,1,0,True,False
171,Just get married already,1,0,False,False
172,Oi mama ki re❤️🔥,1,0,False,False
173,cute,1,0,False,False
174,😂😂😂,1,0,False,False
175,Manush biye sadi te emn photoshot kore maybe secretly they r married 😁..,1,0,False,False
176,The couple we need to protect.... 👀😚🌷,21,0,False,False
177,Biye korse vabsilam,1,0,True,False
178,❤️❤️❤️❤️❤️,1,0,False,False
179,Pre wedding shoot,4,0,False,False
180,Masaallah❤️😫😭✨,1,0,False,False
181,What are we final boss level,3,0,False,False
182,Vai wedding Blog chaiiiii cahieeeee....,0,0,False,False
183,Awwwh congratulations he’s making it official 😍❤️,3,0,False,False
184,Happy married life rafsan 🤐🤍,0,0,False,False
185,Mrs Rafsan the choto bhabi🫢,0,0,False,False
186,Lovely couple🔥🔥,0,0,False,False
187,Bhai tomra biye korteso kobe...? 👀,0,0,True,False
188,Babsilam caption takbe finally married,0,0,False,False
189,🤍🫰,0,0,False,False
190,"Bro, tumra 2 jon biye na korle onk kosto pabo",4,0,True,False
191,Oh yeaaa biya bari cholche,0,0,False,False
192,@t.sunehra @thechotobhai bhaiya biye kobe korte sen ……?,0,0,True,False
193,ওয়াও,0,0,True,False
194,Friends- best friends- gf bf - married thats what i thaught,0,0,False,False
195,Vai literally mone korsi hoye gese.,0,0,True,False
196,একদিন এই পিক সত্যি হবে। lots of duah ❤️,0,0,True,False
197,Gay,0,0,False,False
198,Congratulations @t.sunehra.,0,0,False,False
199,Tomra biye korte so kobe?,0,0,True,False
200,Ans me please,1,0,False,False
201,amazing ❤️❤️,0,0,False,False
202,W8 and see 🔥,0,0,False,False
203,Couple matching dripppz,0,0,False,False
204,Biya biya vibes,0,0,False,False
205,Us when,0,0,False,False
206,❤️❤️❤️,0,0,False,False
207,Biye er dawat pabo na?,0,0,True,False
208,Just get married already 😩,0,0,False,False
209,@thechotobhai bro be honest you lowkey like her don’t you?😭,0,0,False,False
210,বিয়া করা যায় তো ব্রো🥺🥺 কি সুন্দর কিন্তু তুমি এতো লম্বা ক্যা🤧🤧,0,0,True,False
211,Biya ta kor bhai 🙏,0,0,False,False
212,Vaggish caption er moto ekta bebostha chilo noyto pura ekta generation Dhoka* kheye geto🙂👏,0,0,True,False
213,Congrats,0,0,False,False
214,🔥🔥 Bro,0,0,False,False
215,Biyer post mona korsilam😢,0,0,True,False
216,শুভ কাজ টা কি হয়ে গেলো তোমাদের,0,0,True,False
217,❤️,0,0,False,False
218,😍😍,0,0,False,False
219,😮😮,0,0,False,False
220,Please be together 🙌❤️,0,0,False,False
221,Shobai wait kortese oder biyer jonno!😍,0,0,True,False
222,Congratulations bhabi 😴,0,0,False,False
223,Bhai Shadi Kab Karoge 😭😢😍,0,0,True,False
224,Khub shundor lagche 2 jonkey,0,0,True,False
225,When will you both getting married 😢,0,0,False,False
226,❤️❤️ congratulations,0,0,False,False
227,Vabi jitsen🔥❤️,0,0,True,False
228,I thought u’r getting married 😒😭,0,0,False,False
229,Aww Bhai and bhabi,0,0,False,False
230,প্রথমে ভাবছিলাম বিয়ের ফটো 😑😑,4,0,True,False
231,look of lovee,0,0,False,False
232,Pinkkish ❤️❤️❤️ duo,0,0,False,False
233,"Why u guys don't get married,we're waiting badly for heard the news..🥱",2,0,False,False
234,I was like...accha finally!! Oma erpor dekhi appreciation post😑,0,0,False,False
235,They gonna be a cool couple if they get married.,0,0,False,False
236,❤️❤️❤️,0,0,False,False
237,Bro bhabi tumar dike takai ase,0,0,True,False
238,Kire bhai tora hanga boch na key!!!😍,0,0,False,False
239,Kuch tw Gadbad hain..😬,0,0,True,False
240,ami to vablam biya koira laichooooo 🥹🤦🏻‍♂️,0,0,True,False
241,@thechotobhai bro get married quickly 😻,0,0,False,False
242,"Natok kom koro chotobhai, biye koro<3",0,0,True,False
243,"Jamai bou kivabe, eke opor er dike takiye ache 😢👏 how sweet",0,0,True,False
244,If the brother gets married then you will look up all the time☺️😄,0,0,False,False
245,,0,0,False,False
246,jemne congo likhso..bhabsilm shubho kaajta korei felso Rafsan bhai :(,0,0,True,False
247,Verified  Ami ekta kotha boli deikhen apnaderke manush premik bolte bolte apnara ekta shomoy mone korben nah biya korei feli 😁...  more,0,0,True,False
248,-🤍🤍,0,0,False,False
249,Cute couple <3,0,0,False,False
250,❤️🔥,0,0,False,False
251,biyee date comming soon 🙌,2,0,False,False
252,,0,0,False,False
253,,0,0,False,False
254,Best couple,0,0,False,False
255,Just marry her bro,0,0,False,False
256,❤️❤️,0,0,False,False
257,😍😍,0,0,False,False
258,Me and Who😢,0,0,False,False
259,🔥🔥,0,0,False,False
260,👀👀,0,0,False,False
261,Hay hay,0,0,False,False
262,Dui jon ei pink porse 💖 ki cute lagtase😭😭,0,0,True,False
263,Favrt couple 😍,0,0,False,False
264,Wait wait eita marriage post na?,0,0,False,False
265,দরকার পড়লে লিখে রাখেন @t.sunehra কে বিয়ে করবেন।@thechotobhai 👀6/5/2025,0,0,True,False
266,bhai apu k biya ta korei felo .kotodin r akshate onnoder biye khabe 👀,0,0,True,False
267,Hard🔥,0,0,False,False
268,👀 mittha bole,0,0,True,False
269,@thechotobhai ki Bhai biya na kore tease koro! 😂,0,0,True,False
270,ভাবী ভাইয়ার দিকে তাকাবে এটাই তো স্বাভাবিক 🙈,0,0,True,False
271,vhai apnara biye ta kobe korben?,0,0,True,False
272,❤❤,3,0,False,False
273,Biye ta o kore felo..ahamori tmn akta kiso bolbo na,0,0,True,False
274,M,0,0,False,False
275,"হিংসা করে আপনি ও বড় হতে পারবেন না, আমিও বড় হতে পারবো না, তাই হিংসা না করে আসুন একে অপরকে ফলো করি । এবং দ্রুত ১ লাখ...  more",0,0,True,False
276,💙,0,0,False,False
277,I thought u both got engaged 🤣,0,0,False,False
278,Perfect couple❤️❤️,0,0,False,False
279,Ami vablam biye nia kono post hobe hoitoo 😭,0,0,True,False
280,Congratulations 👏,0,0,False,False
281,Congratulations @t.sunehra... And you guys are look gorgeous together,0,0,False,False
282,মাশাআল্লাহ👀👀,0,0,True,False
283,vai + vhabi 👀👀,0,0,False,False
284,I thought they got married,0,0,False,False
285,Congrats❤️,0,0,False,False
286,Bhabsi biye kore felso 😭👀,3,0,True,False
287,rafsan bhai tahola sobar bhabna sotti holo,0,0,True,False
288,Literally biyer post vasilam😭lol😂,0,0,False,False
289,Amake biyer dauat dilen na kno 😭😭😭😭😭😭?,0,0,True,False
290,Bujhtesina ami tomra biye korteso na keno :))),0,0,True,False
291,Get married already,1,0,False,False
292,Masallah❤️ Future wife.,0,0,False,False
293,Bhablam Biye hoye gese👏🔥Pewdiepie song👏🔥,0,0,True,False
294,Tumra jodi biye na koro tahole ami bish khaboooo 😭👏,1,0,True,False
295,i know the secret guyz👀,0,0,False,False
296,The way she looks 👀,0,0,False,False
297,Mashaallah❤️,0,0,False,False
298,"Yesss bro, congratulations. Have a great life ahead",0,0,False,False
299,(Alhamdulillah) comming soon.!,0,0,False,False
300,The hellll😭😭😭 for a freaking second i thought they got engaged and they're announcing publicly 😭😭😭😭 my poor heart,0,0,False,False
301,@t.sunehra Congratulations Apu For 1M,0,0,False,False
302,I freaking thought they're announcing their relationship publicly...I freaking thought they got married 😭😭😭,0,0,False,False
303,USS Bhai 😍,0,0,False,False
304,Cute Couple 😍,0,0,False,False
305,I freaking almost jumped and started shouting 😭 but then I saw the caption,0,0,False,False
306,আ ভাই হবে,0,0,True,False
307,shipping this couple so harddd.❤️❤️❤️❤️,0,0,False,False
308,lots of love brother,0,0,False,False
309,Congratulations 🎊 ❤️👏,0,0,False,False
310,get married already,0,0,False,False
311,And they said they are just friend..!!!,2,0,False,False
312,Ekhon taile biye ta koira felo🥶🥱,0,0,True,False
313,❤️❤️❤️,0,0,False,False
314,"Rafsan bhaiya always comment gular reply ""bro,..."" Agula dileo bhetore onek blush kortese🤣",0,0,True,False
315,I hope you get marry with sunehra apu 😭,0,0,False,False
316,😭😭😭oh my goodness 🔥,0,0,False,False
317,বিয়ে তাহলে করেই ফেললেন ভাই? 😐,0,0,True,False
318,❤️❤️❤️❤️❤️❤️,0,0,False,False
319,"Congratulations brother, I wish you a happy future ❤️",0,0,False,False
320,I thought that this one is both of your engagement post,0,0,False,False
321,@thechotobhai Bro you look like her.... security gard 👀,0,0,False,False
322,Best friends to husband-wife.InshaAllah.,0,0,False,False
323,Vai Rafsan amader enough information dise je sunera ar Rafsan Vai Future couple,0,0,True,False
324,Matching with her Saree pink Punjabi nice bro😂😂,0,0,False,False
325,Biya da korteso na ken bhai,0,0,False,False
326,I thought that they got married literally and this post is about the announcement 🙂 Until I saw the caption. Btw I...  more,0,0,False,False
327,Yaaaaa vaiiii,0,0,False,False
328,Vabi,0,0,False,False
329,Vaiya Eta vabi naki?👀,0,0,True,False
330,❤️❤️❤️❤️,0,0,False,False
331,I thought you both are gonna engaged,0,0,False,False
332,Ohh twinning 👀,0,0,False,False
333,Hobuu bow 😍😂🔥,0,0,False,False
334,আরালে আরালে খালি আনন্দ হয় গো,0,0,True,False
335,Everyone: What's going on.... Rafsan: Just revealing something... @thechotobhai,0,0,False,False
336,শুভ কাজে দেরি নয় ❤️,0,0,True,False
337,❤️❤️❤️,0,0,False,False
338,Biye kore felen,0,0,True,False
339,Holy chopped 🥀,0,0,False,False
340,Marry her❤️,0,0,False,False
341,Weeded couple ❤️,0,0,False,False
342,Biye ta korafelo,0,0,False,False
343,বাঙালি কিন্ত ভুল করে না 👀,0,0,True,False
344,@thechotobhai যা রটে তা কিছুটা হলেও ঘটে ভাইয়া 👀,0,0,True,False
345,Couple 🔥,0,0,False,False
346,Vhai chobi dekhe vhaisi biye done caption e dekhbo🐸,0,0,True,False
347,"@t.sunehra be like- ogo shuncho, tumi kacchi khaba nki briyani ...  more",0,0,False,False
348,nice couple😍,0,0,False,False
349,Daud kim 2.0 👀 with his pinkyyyyyy🎀,0,0,False,False
350,Power Team. 💕,0,0,False,False
351,❤️❤️❤️❤️,0,0,False,False
352,😍😍😍🔥,0,0,False,False
353,❤️❤️,0,0,False,False
354,Bro just married already,0,0,False,False
355,🥀🖤,0,0,False,False
356,Bro said looking at me literally 😂😭👀,0,0,False,False
357,They are Bangladeshi nishchay and ruchika,0,0,False,False
358,Congratulations ?🥂,0,0,False,False
359,Jamai Bow Jamai Bow Lagtada 👀,0,0,True,False
360,Vaia vabsilam bie korso 👀,0,0,True,False
361,I though 😭,0,0,False,False
362,❤️❤️❤️,0,0,False,False
363,Ami vabsi oder biar programme 🤣🤣🤣🤣,0,0,False,False
364,K k amar moto vabso?,0,0,False,False
365,bhai biya da koira falan to,0,0,True,False
366,Rafsan got friendzoned by sunehraa 😝😝☝️,0,0,False,False
367,"They will still say "" We are just friends"" 😭",3,0,False,False
368,🔥🔥,0,0,False,False
369,@t.sunehra crush apu 🥰🥰,0,0,False,False
370,Vablam Biya done🙂,0,0,False,False
371,Tomader to Valo manay. but ager tomader boro Vai bon kea age married daw. Nile tomra married korba na. Pls 🙏. Sobie chai,0,0,True,False
372,বিয়ে টা করো না কেনো তোমরা এখন👀😍❤️,0,0,True,False
373,Verified  ❤️😭,0,0,False,False
374,Eyes never lie👀,0,0,False,False
375,Future couple 👏,0,0,False,False
376,Your insta 1M soon 👀👏,2,0,False,False
377,Biya kore felo choto vai.,0,0,True,False
378,Mashaallah ki cute lgtese duijon k😭 to bhaiya tomdr biyer pic kobe post krba?🙊💐,4,0,True,False
379,best couple ❤️🔥,0,0,False,False
380,🔥,0,0,False,False
381,biye korse bhaba ami😭,0,0,True,False
382,Made for each other 😍❤️,0,0,False,False
383,seriously congratulations korse valo kotha kintu couple photo diya 😂😂😂,0,0,False,False
384,congratulations for your Married life.,0,0,False,False
385,বন্ধু বন্ধুর পাশে থাকার উদাহরণ 💜 ...  more,0,0,True,False
386,💙,0,0,False,False
387,She looks like Ariana Grande,0,0,False,False
388,bhabi 🙌,0,0,False,False
389,I literally thought you guys got married 😢,0,0,False,False
390,Next Couple Vlogar 🤫,0,0,False,False
391,Is bro boro Bhai now?,0,0,False,False
392,"""I thought you guys were getting married — especially with those matching outfits! Maybe something's going on?""",0,0,False,False
393,Biya koro biya 😾☝🏻,0,0,False,False
394,@thechotobhai bro apu ii to tmr future wife,0,0,False,False
395,Vai biye korben kobe?@thechotobhai,0,0,True,False
396,👀😂,0,0,False,False
397,You guys are looking so cute together 💗sry for the irrelevant comment🤌,0,0,False,False
398,apnar wife to masallah,0,0,False,False
399,😍❤️😭👀👏🔥,0,0,False,False
400,❤️❤️,0,0,False,False
401,Alhumdulillah ❤️,0,0,False,False
402,Bhayya jitesnn👀,0,0,False,False
403,Alhamdulillah 😢,0,0,False,False
404,K,0,0,False,False
405,,0,0,False,False
406,The best couple in bd😍,0,0,False,False
407,❤️,0,0,False,False
408,I was about to write congratulations for a new life,0,0,False,False
409,👀👀👀👀,0,0,False,False
410,Tumader biye te food review diyo choto bhai😭,0,0,False,False
411,Ar first vabsilam biya kore felso🙂💔,0,0,True,False
412,I thought it was the announcement 😭,0,0,False,False
413,My reaction : Before😱 After 💀,0,0,False,False
414,❤️❤️❤️,0,0,False,False
415,❤️❤️❤️,0,0,False,False
416,বিয়া করবেন কবে হেইডা কন,0,0,True,False
417,@thechotobhai kire magir jamai,0,0,True,False
418,The way she look at him 👀,0,0,False,False
419,ঐকিরে,0,0,True,False
420,❤️,0,0,False,False
421,🔥,0,0,False,False
422,Congratulations,0,0,False,False
423,😂👏🔥,0,0,False,False
424,🔥,0,0,False,False
425,বিয়ে টা দেখার অপেক্ষা,0,0,True,False
426,Kire,0,0,False,False
427,মুরুব্বি উহু উহু🌚👀,1,0,True,False
428,No nazrs guys,0,0,False,False
429,❤️❤️,0,0,False,False
430,nvm thought they got married or smth 🙏🏽,0,0,False,False
431,Biye sadiir post Mone korlam 🙂,0,0,True,False
432,tomader biye dekhbo bole ami biye kori na. 👀,0,0,True,False
433,💖💖,2,0,False,False
434,❤️😭😭,0,0,False,False
435,অকে এখন বিয়ে টা করে ফেলো এই মেয়েকে,0,0,True,False
436,❤️,0,0,False,False
437,Smthing smthing👀,0,0,False,False
438,@thechotobhai Bro you look like her.... security gard 👀,0,0,False,False
439,"Dream couple 👩‍❤️‍👨 , inshallah 🤍🤲🏼",0,0,False,False
440,সামনের শুক্রবার তাহলে বিয়ের দাওয়াত,0,0,True,False
441,❤️,0,0,False,False
442,Verified  Colour matching future matching hoile hoy 🙃🤦‍♂️,0,0,True,False
443,Chotovai abr chotobabhi banai e felen ar koto👀,0,0,True,False
444,Biye ta kore felo bro,0,0,True,False
445,biyar dawat kobe,0,0,True,False
446,Both are looking gorgeous😍💖✨,0,0,False,False
447,Shudhu onno der biye te ghure berale hobe tomra biye korbe kobe?😒,0,0,True,False
448,জিতছে 🥲✨️,0,0,True,False
449,Vasilam mone hoy biya hoye gese👀,0,0,True,False
450,Future Babhi 👀,0,0,False,False
451,Manai valo duijon reeehh❤️,0,0,True,False
452,the outfit is a lil too matched bro dont you think I might as well get into this shipping public as well 🥸,1,0,False,False
453,Please or sathe relationship e asio na,0,0,False,False
454,Bhalo মানাইছে 😭👏👏❤️,0,0,False,False
455,❤️,0,0,False,False
456,best wish,0,0,False,False
457,❤️,0,0,False,False
458,"I was just attempting to write “congratulations, it’s a beautiful journey” ...  more",2,0,False,False
459,Biye done 👀😂,0,0,False,False
460,Confused 🤦‍♀️,0,0,False,False
461,Bhabsi biye hoye gese 🫠,0,0,True,False
462,When will u get married👀,1,0,False,False
463,Biye ta koro vai taratari 🤭,0,0,True,False
464,vablam biyer post 😭😭,0,0,False,False
465,Yes bro😂,0,0,False,False
466,❤️❤️,0,0,False,False
467,Congratulations dearest @t.sunehra apuuuuuu 💖🫶🏼,0,0,False,False
468,@thechotobhai Bro please marry @t.sunehra apu... 😭,0,0,False,False
469,Bhai biyer Khabar er food review ta diyen 😭,2,0,True,False
470,Congratulations 🎉,2,0,False,False
471,Tung tung tung tung tung tung sahur,0,0,False,False
472,@thechotobhai bro vabcilam ‘’jitso jitso’’ comment korar din finally ajke eshei porlo !! @t.sunehra ar koto wait korte...  more,2,0,True,False
473,"at last ""পুর্নতা"".. 🙃",0,0,True,False
474,Biye ki kore felso? 🫤,0,0,False,False
475,I thought it’s an official announcement,0,0,False,False
476,"Biya koira felen doijone, emne ar koto👀",0,0,True,False
477,Sunayra the choto vabi👀,0,0,False,False
478,😭❤️,2,0,False,False
479,💝🫶,0,0,False,False
480,❤️❤️,0,0,False,False
481,🔥,0,0,False,False
482,❤️🔥,0,0,False,False
483,Bro indirectly bole dilo she is his girl stay away from her..!🙂‍↔️,0,0,False,False
484,@_izn.0vy 😭😭,0,0,False,False
485,wahh 🔥,0,0,False,False
486,Mone korcilam coto bhai biye korce👀,0,0,True,False
487,Love you brother 😘❤️,0,0,False,False
488,Waiting for wed* congratulations! 👀,0,0,False,False
489,恭喜你破百万啦！ 你眼光真好，一直看著我（哈哈！）,0,0,False,False
490,This upcoming couple looks like a husband and wife.👀👀,0,0,False,False
491,Ore🔥,0,0,False,False
492,Bia kobe tomader?,0,0,True,False
493,Giving newly Wed vibes 🔥😭❤️,0,0,False,False
494,Ai dui jon er biye hoile ami sob thike bisi khusi homu🙂✨🥹,0,0,True,False
495,damn cute ❤️,0,0,False,True
496,👀👀,0,0,False,False
497,❤️❤️,0,0,False,False
498,Kire biye kobe korba choto bhai 👀,0,0,True,False
499,❤️❤️❤️,0,0,False,False
500,Vai Ami sure era dui jon biye korbei,0,0,True,False
501,"Matching outfits,Omo so cute!! 😍",0,0,False,False
502,Tara biye korche na keno?,0,0,True,False
503,❤️❤️,0,0,False,False
504,W😮w,0,0,False,False
505,Biya koren choto vai,0,0,False,False
506,❤️👏,0,0,False,False
507,😍,0,0,False,False
508,😞😒,0,0,False,False
509,🤍🩷🤍,0,0,False,False
510,Nice couple 👀,0,0,False,False
511,Ami bhablam Engagement er congratulations choltese,0,0,False,False
512,Congratulations ❤️,0,0,False,False
513,😍,0,0,False,False
514,Biye koro bhai😭❤️,0,0,False,False
515,I though their marriage photo 🙂,0,0,False,False
516,Future couple 😌,0,0,False,False
517,Vaiya biyer vlog ta kbe dekhbo.,0,0,True,False
518,Bhai hodul ki chad e hoise naki bahire ?🙂,0,0,True,False
519,"Rafsan vai, biye kobe kortechen???",0,0,True,False
520,"Duhh, both of you look like a couple, you can't avoid it bro!",0,0,False,False
521,Yoo!! Congoo🔥,0,0,False,False
522,❤️,0,0,False,False
